"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"76","cod8_Nums",0,0,6324.97,17723.83,0,7071.45,6324.97,17723.83,2921.51,2015.65,7001.3,6025.25,8520.54,4747.45,9494.91,75959.27,0,37979.63,0,4775.96,4131.41,4131.41,8355.35,3997.86,24415.48,0
"77","cod9_Nums",0,0,1872.74,0,0,1950.77,1872.74,0,0,1116.1,3329.31,3617.57,2810.94,5562.19,0,0,0,0,0,2306.5,1530.38,1530.38,13872.12,3472.33,11593.13,0
"78","cod10_Nums",0,0,2395.06,0,0,2043.87,2395.06,0,5475.7,589.62,3226.75,1207.6,3142.53,2527.24,0,0,0,0,0,1479.65,907.94,907.94,3945.45,1729.17,0,0
"79","cod11_Nums",0,0,1268.16,0,0,0,1268.16,0,0,361.14,0,1319.49,1866.86,0,0,0,0,0,0,1414.47,553.55,553.55,2648.57,0,0,0
"80","cod12_Nums",0,0,307.34,0,0,139.56,307.34,0,0,78.49,924.04,177.9,307.74,302.24,0,0,0,0,343.05,108.24,95.64,95.64,365.51,0,408.39,0
"81","cod13_Nums",0,0,108.18,0,0,49.12,108.18,0,0,27.63,325.24,62.61,108.32,106.38,0,0,0,0,120.75,38.1,33.66,33.66,128.65,0,143.75,0
"82","cod14_Nums",0,0,38.08,0,0,17.29,38.08,0,0,9.72,114.48,22.04,38.13,37.44,0,0,0,0,42.5,13.41,11.85,11.85,45.28,0,50.59,0
"83","whiting1_Nums",0,60166115.3,111360493.52,109660781.45,60166115.3,378816212.28,111360493.52,109660781.45,543003046.79,197569336.62,51717733.05,142279968.76,184961916.2,265555488.88,491009738.66,5956349.43,0,10645957.64,82040120.25,71924966.7,94889249.4,48066610.75,244596335.34,647426278.23,2695910.5,0
"84","whiting2_Nums",0,9616197.58,25537170.39,34831545.21,9616197.58,54061505.18,25537170.39,34831545.21,120235478.78,88959816.13,9182592.66,26288626.26,16223114.89,22158704.73,14996615.63,6643368.43,0,109826196.64,137706271.18,61000340.1,12732260.78,9413587.45,9575544.55,24779034.75,2157115.49,0
"85","whiting3_Nums",0,5726845.88,24400314.9,42110141.94,5726845.88,22010332.04,24400314.9,42110141.94,86832604.45,47451565.92,4613187.46,9494172.64,10801617.8,10205220.12,10189351.31,23226214.46,0,172922660.3,124127042.32,94969504.45,29840263.7,48769968.59,3700657.52,8391308.61,23443722.86,0
"86","whiting4_Nums",0,1536632.3,2806516.68,7174907.76,1536632.3,1730158.01,2806516.68,7174907.76,1218044.38,3023483.82,537259.49,632184.56,946252.74,1114329.79,588039.81,6393968.07,0,17840233.94,11358571.1,13812730.79,5566448.76,8649654.8,557538.98,782910.05,10107077.42,0
"87","whiting5_Nums",0,457782.69,584811.01,1846822.91,457782.69,484707.36,584811.01,1846822.91,659071.4,260360.09,111112.3,159047.59,350614.06,278917.87,70176.19,3487756.71,0,23333583.61,2916875.04,2570273.59,1471125.47,3191729.43,216722.96,864803.87,3775089.23,0
"88","whiting6_Nums",0,184335.29,184189.26,528883.25,184335.29,220382.12,184189.26,528883.25,120770.63,49122.17,0,38198.52,94823.88,47752.32,42798.76,1086273.35,0,6120223.02,506669.24,1006493.64,322942.39,322942.39,116495.1,163487.41,1136109.45,0
"89","whiting7_Nums",0,24427.95,28033.04,39690.33,24427.95,21528.77,28033.04,39690.33,0,12509.47,15267.47,9948.19,10924.72,9160.48,0,144648.35,0,36641.92,59337.97,51644.99,27620.3,380229.36,14326.16,30175.7,126513.5,0
"90","whiting8_Nums",0,14342.14,6813.29,11887.29,14342.14,2424.13,6813.29,11887.29,7253.21,952.63,6545.58,1146.85,2358.77,1990.21,0,38388.92,0,93760.96,13616.31,14500.01,7970.71,7970.71,3307.56,1675.97,30577.42,0
"91","whiting9_Nums",0,5467.98,2597.58,4532.06,5467.98,924.21,2597.58,4532.06,2765.3,363.19,2495.52,437.24,899.29,758.77,0,14635.87,0,35746.6,5191.25,5528.17,3038.85,3038.85,1261.02,638.97,11657.72,0
"92","whiting10_Nums",0,2084.68,990.33,1727.86,2084.68,352.36,990.33,1727.86,1054.28,138.47,951.42,166.7,342.85,289.28,0,5579.96,0,13628.48,1979.18,2107.63,1158.57,1158.57,480.77,243.61,4444.53,0
"93","whiting11_Nums",0,794.79,377.57,658.75,794.79,134.34,377.57,658.75,401.95,52.79,362.73,63.55,130.71,110.29,0,2127.37,0,5195.89,754.57,803.54,441.71,441.71,183.29,92.88,1694.49,0
"94","whiting12_Nums",0,303.02,143.95,251.15,303.02,51.22,143.95,251.15,153.24,20.13,138.29,24.23,49.84,42.05,0,811.07,0,1980.95,287.68,306.35,168.4,168.4,69.88,35.41,646.03,0
"95","whiting13_Nums",0,115.53,54.88,95.75,115.53,19.53,54.88,95.75,58.42,7.67,52.72,9.24,19,16.03,0,309.22,0,755.24,109.68,116.8,64.2,64.2,26.64,13.5,246.3,0
"96","haddock1_Nums",0,0,13557.79,75387.27,0,2283728.22,13557.79,75387.27,173760150.33,193559320.25,7859845.26,667971.12,30334266.37,37214538.37,193852.99,139686343.42,0,232363599.88,375712996.81,330049136.51,236208470.48,205025760.91,223339547.23,103909695.05,75777886.69,0
"97","haddock2_Nums",0,0,0,0,0,258555.59,0,0,4623736.55,5848181.59,403707.25,11765.13,417841.8,9957.18,0,4049629.59,0,11306586.61,14089658.19,4889095.16,4610296.48,3622103.98,2106252.19,258862.5,2555870.21,0
"98","haddock3_Nums",0,0,0,515071.53,0,292300.95,0,515071.53,1369959.2,1249672.14,329737.76,0,886138.52,0,0,5997238.72,0,5118523.34,2562855.21,999927.56,2242672.04,2242672.04,1591324.98,414395.12,3509669.38,0
"99","haddock4_Nums",0,0,0,0,0,96804.6,0,0,24573.48,24260.01,64536.4,0,83962.23,0,0,400494.47,0,580827.62,144376.24,52883.21,108482.58,108482.58,53819.24,19806.57,263318.77,0
"100","haddock5_Nums",0,0,0,0,0,0,0,0,0,2602.05,0,0,36817.4,0,0,77363.63,0,37092.15,20153.14,2248.01,10905.88,10905.88,9794.75,0,42626.54,0
"101","haddock6_Nums",0,0,0,0,0,0,0,0,0,621.66,0,0,2629.11,0,0,7795.03,0,6009.39,3004.69,0,698.15,698.15,1274.72,0,4247.45,0
"102","haddock7_Nums",0,0,0,0,0,0,0,0,0,20.94,0,0,117.12,0,0,263.82,0,0,93.47,57.36,38.53,38.53,104.17,0,212.27,0
"103","saithe1_Nums",0,0,155792.26,306010.72,0,139849.65,155792.26,306010.72,2519367.45,314632.64,303766.99,174547.52,2442004.73,320488.78,407755.4,8225630.29,0,151229682.44,45658216.46,1231345.94,23123808.17,20532522.92,13251694.83,2127342.99,45354736.85,0
"104","saithe2_Nums",0,0,0,0,0,0,0,0,2243832,1460576.12,311643.33,0,711563.22,0,0,9379351.33,0,7479440.01,3444048,2376187.54,23104225.72,14668546.2,7490021.27,467175.55,92995989.69,0
"105","saithe3_Nums",0,0,0,0,0,0,0,0,0,8965760.96,0,0,268564.67,0,0,2621702.74,0,0,964867.36,1822721.11,1704377.63,1704377.63,1260201.95,0,7855225.96,0
"106","saithe4_Nums",0,0,0,0,0,0,0,0,0,3134939.17,0,0,243614,0,609035.01,1305075.02,0,0,114519.4,588255.65,327474.25,327474.25,495199.03,0,2140664.22,0
"107","saithe5_Nums",0,0,0,0,0,0,0,0,0,222267.95,0,0,0,0,0,248568.33,0,0,77332.37,76176.6,81702.05,620843.79,111026.95,50434.15,518169.36,0
"108","saithe6_Nums",0,0,0,0,0,0,0,0,0,81289.24,0,0,0,0,0,0,0,0,0,18490.56,19165,19165,38977.49,0,258301.44,0
"109","saithe7_Nums",0,0,0,0,0,0,0,0,0,19758.25,0,0,8600.98,0,0,0,0,0,0,6143.56,3956.54,3956.54,11728.61,0,35939.81,0
